ID,source,station_id,site_no,latitude,longitude,Ground_Elevation_m,timestamp,peak_date,elevation_m,peak_stage,event,aep,aep_lowci,aep_range,aep_upperci,air_pressure_decibar,calc_notes,county,data_file,data_quality,description,ground_elevation_m,height_above_gnd,horizontal_collection_method,horizontal_datum,hwms,is_hag_estimated,is_peak_discharge_estimated,is_peak_estimated,is_peak_stage_estimated,is_peak_time_estimated,last_updated,last_updated_by,links,member,member_id,member_name,min_elevation_m,min_timestamp,networks,peak_discharge,peak_summary_id,perm_housing_installed,priority,sea_pressure_decibar,site_id,state,temperature_c,time_zone,vdatum,vdatum_id,vertical_datums,water_diff_normal_m,waterbody,year,zone,height_above_gnd_m
10001,filtered_peaks,IAFAY24003,IAFAY24003,42.95753,-91.62403,241.07,2016-08-25 12:00:00,2016-08-25 12:00:00,245.799864,245.799864,August IA Flood,,,,,,Average of 2 downstream HWMs,Fayette County,System.Collections.Generic.HashSet`1[STNDB.data_file],,"County Road B64 bridge, Elgin. Downstream USGS HWMs.",,,,,System.Collections.Generic.HashSet`1[STNDB.hwm],,0.0,0.0,0.0,1.0,,,,,,Mike Linhart,,,,,7516.0,No,,,24003.0,IA,,UTC,NGVD29,,,,Turkey River,2016.0,,
10002,filtered_peaks,IAFAY24004,IAFAY24004,42.957825,-91.623983,241.07,2016-08-25 12:00:00,2016-08-25 12:00:00,246.055896,246.055896,August IA Flood,,,,,,Average of 4 upstream HWMs,Fayette County,System.Collections.Generic.HashSet`1[STNDB.data_file],,"County Road B64 bridge, Elgin. Upstream HWMs.",,,,,System.Collections.Generic.HashSet`1[STNDB.hwm],,0.0,0.0,0.0,1.0,,,,,,Mike Linhart,,,,,7517.0,No,,,24004.0,IA,,UTC,NGVD29,,,,Turkey River,2016.0,,
10003,filtered_peaks,IAFAY24027,IAFAY24027,42.99784,-91.65801,249.35,2016-08-25 12:00:00,2016-08-25 12:00:00,253.828296,253.828296,August IA Flood,,,,,,Average of 2 downstream HWMs,Fayette County,System.Collections.Generic.HashSet`1[STNDB.data_file],,"U.S. Highway 18 bridge, Clermont, downstream HWMs",,,,,System.Collections.Generic.HashSet`1[STNDB.hwm],,0.0,0.0,0.0,1.0,,,,,,Mike Linhart,,,,,7518.0,No,,,24027.0,IA,,UTC,NGVD29,,,,Turkey River,2016.0,,
